@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@lafrenchwife,11:20 - 22 mars 2013,#CARAMBAR only acceptable substitute to bad jokes by kids&/or incognito adults in candy wrappers are fake tatoos (Fr) http://bigbrowser.blog.lemonde.fr?p=36229bigbrowser.blog.lemonde.fr/?p=36229 ,
@Valentinadu91,11:20 - 22 mars 2013,Ma mere viens de me dire que sa seras des choses sur lorthographe qui prendrons la place des blagues #Carambar !,
@DupratA,11:19 - 22 mars 2013,#Carambar : l'auteur était payé 70 euros la blague http://tempsreel.nouvelobs.com/societe/20130322.OBS2709/carambar-l-auteur-etait-paye-70-euros-la-blague.html … via @LeNouvelObs Le vrai talent n'est pas récompensé! @jmaphatie,
@betibidean,11:17 - 22 mars 2013,#Carambar arrête les blagues de @Cyrilhanouna ?! @TPMPOFF @TPMPofficiel @TeuteurTPMP @KevinRazy http://www.youtube.com/watch?v=eq8lbXHkoFg&feature=youtube_gdata_player …,
@JrmiLolm,11:12 - 22 mars 2013,Fin des blagues #Carambar mais ou @emeline_ferry va-t-elle  trouver des blagues a nous raconter ?,
@coach_serenity,11:11 - 22 mars 2013,OMG #Carambar arrête les blagues ?! http://www.blogdudimanche.fr/omg-carambar-arrete-les-blagues/ …,
@_giansanteg,11:09 - 22 mars 2013,Avant j'avais des bonnes blagues maintenant plus. #carambar,
@Foodly_,11:06 - 22 mars 2013,La fin des blagues #Carambar une nouvelle stratégie marketing ou enfin une blague drôle ? http://food-innovation.overblog.com/la-fin-des-blagues-carambar …,
@nissanfrance,10:58 - 22 mars 2013,Défi #carambar suite : quelle est la #Nissan à partager avec ses amis en fin de journée ? Le #CUBE car c'est l'heure de l'#apéricube.,
@kyoustudio,10:57 - 22 mars 2013,L'arrêt des blagues #carambar serait-il le plus gros buzz de poisson d'avril depuis des années? (Et leur meilleur blague surtout!),
@Janedoe783,10:51 - 22 mars 2013,On a toujours dit que les blagues #carambar etaient des blagues à 2 balles au final c est quand meme des blagues à 70€...,
@H_Roxane,10:50 - 22 mars 2013,J'ai tjrs rêvé qu'une de mes blagues soit publiée dans un #carambar... c'est douloureux #direadieu à ses rêves.,
@julierivoire,10:49 - 22 mars 2013,RT @LePlanneur: Tout même un peu étonné que tant de journalistes et de twittos croient à cet arrêt définitif des blagues #Carambar,
@thibouiz,10:48 - 22 mars 2013,Tout n'est peut-être pas perdu !!! #carambar @Europe1: Carambar : un buzz aux allures de pub http://eur1.fr/eABY9ZQ  par @CharlesCarrasco,
@GaudinFlo,10:39 - 22 mars 2013,@ClaireSyndique: #Carambar arrête bien ses blagues... http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ … Dis-moi aussi que Kinder arrête ses surprises tant qu't'y est !,
@dominique_bry,10:37 - 22 mars 2013,Aïe Carambar ! http://blogs.mediapart.fr/edition/journal-inconsequent-de-linformation-derisoire/article/220313/aie-carambar … @MediapartLeClub #Carambar Billet blagueur à lire sans emballage sur @mediapart en accès libre,
@lesubversif,10:37 - 22 mars 2013,C'est dommage que les célébrités sur tweeter ne supportent pas la contradiction il faut toujours les flatter #dcdc #Carambar,
@Inform_a_tique,10:35 - 22 mars 2013,Penser a @ThierryMoreauT7 face a l'arrêt des blague #Carambar c'est  une perte d'inspiration enorme pour le chroniqueur de @TPMPOFF,
@AliGoldstein1,10:34 - 22 mars 2013,La fin des blagues #Carambar! C'est plus ou moins comment j'ai appris le francais. Incroyable.  http://www.huffingtonpost.fr/2013/03/21/la-fin-des-blagues-carambar-15-avril_n_2924515.html …,
@SoniaMachefert,10:30 - 22 mars 2013,Les Carambars seront-ils aussi bons sans leurs blagues #carambar.... à suivre !!!,
@FlorianSanson,10:29 - 22 mars 2013,il s'est donné c'est mérité #clapclap RT @nissanfrance: @victor_diakov Vous êtes nommé Prince du tribute to #carambar (bientôt Président ?),
@manonmazzoli,10:28 - 22 mars 2013,“@itele: Sans rires #Carambar arrête les blagues. Elles seront remplacées par des questions éducatives http://www.itele.fr/france/video/finies-les-blagues-carambar-devient-serieux …” le bad ...,
@Donibane22627,10:28 - 22 mars 2013,Fini les blagues #Carambar. Dommage plus ce genre de question: Pourquoi les poules n'ont pas de vélo? Parce qu'elle ne savent pas en faire;(,
@cic,21:55 - 28 nov. 2018,Vous êtes décidé(e) à construire l'avenir ? Le CIC recrute cette année 2 000 collaborateurs. Rendez-vous sur https://goo.gl/EtccwP  #CIC_entreprendresonjobpic.twitter.com/vByV29P2en,
@feesmaison,10:28 - 22 mars 2013,Tout fou le camps ! Après #Malabar et son chat miteux c'est #Carambar qui change ses emblématiques blagues :( #toutfoulecamps,
@nissanfrance,10:27 - 22 mars 2013,@victor_diakov Vous êtes nommé Prince du tribute to #carambar (bientôt Président ?),
@VesperiaMaster,10:27 - 22 mars 2013,Nan mais #ALLO t'es un #carambar et t'as pas de blagues ? Nan mais ALLO quoi !,
@Muriel_Dagicour,10:26 - 22 mars 2013,#Carambar ne blaguera plus !,
@steph_bocquet,10:26 - 22 mars 2013,#npdc RT @plarad: RT @F3nord #Carambar : l'histoire d'un bonbon 100% made in Nord Pas-de-Calais http://buff.ly/11pG498 ,
@A_DifferentGirl,10:22 - 22 mars 2013,Apparement les blagues #Carambar vont disparaîtrent. Elles étaient toujours nulles de toutes façons.,
@bdbiziana,10:18 - 22 mars 2013,J'ai jamais trop aimé les #Carambar .Mais quand on m'en offre je saute dessus.,
@StephanieZeimet,10:16 - 22 mars 2013,Sans rire ! RT @as_pujol: La fin des blagues #Carambar : et si c'était un poisson d'avril ?!,
@Aur3Lianna,10:15 - 22 mars 2013,J'en avais rien à faire des blagues #carambar soudain je me met a protester parcequ'on menace de les retirer#manipulésparlacom #buzz,
@CamySouli,10:12 - 22 mars 2013,J'en avais rien à faire des blagues #carambar soudain je me met a protester parcequ'on menace de les retirer#manipulésparlacom #buzz,
@Oberinho,10:09 - 22 mars 2013,C'est quand même LA référence en matière de vanne les moins drôles au monde qui s'effondre ...  #Carambar #LT,
@danastonem,10:09 - 22 mars 2013,#Carambar arrête les blagues.. même si elles étaient pourries ça va manquer,
@Oberinho,10:08 - 22 mars 2013,Faut avouer que #Carambar qui arrête de mettre des blagues c'est un peu un mythe qui s'effondre ! #RIP,
@NgomJimmy,10:07 - 22 mars 2013,#Carambar arrête ses #blagues. Adieu calembours et autres devinettes... C'est le #zapping #télé : http://www.dailymotion.com/video/xyeit7_zapping-tele-du-22-03-2013_tv …,
@MattLaloum,10:05 - 22 mars 2013,#carambar arrete ces blagues...ah parce que c'etais des blagues..?,
@Negro_Fragile_,10:05 - 22 mars 2013,Comment je vais faire pour renouveler mon stock de blague si carambar arrête ses vannes moi ... ?!#carambar,
@soares_steph,10:04 - 22 mars 2013,Carambar arrête les blagues #jeveuxbien mais les remplacer par de la culture général #wtf #pk #monenfanceaublaguedemerdefinie #carambar,
@MillionVoices_,10:04 - 22 mars 2013,Deux grains de sables discutent dans le désert. L'un d'eux dit à son copain : Je crois qu'on est suivis... #Carambar,
@Datsoundsgood,10:03 - 22 mars 2013,@alexmex_ ET TOUT À COUP ÇA ME RAPPELLE LA SOIRÉE DE VENDREDI DERNIER ! #carambar,
@Trog_levrai,10:02 - 22 mars 2013,C'est l'histoire d'un mec qui s'est dit et si on arrêterait les blagues #Carambar. Quelle source de blague pourries maintenant Gad Elmaleh?,
@alexmex_,10:01 - 22 mars 2013,Fin des blagues #carambar : c'est quand un truc que tu aimais détester s'arrête que tu te rends compte qu'il va te manquer #mondedemerde,
@Kinush_kM,10:01 - 22 mars 2013,RT @LeNouvelObs: Le revenu de l'auteur des blagues #Carambar dévoilé >> http://bit.ly/YJPIzV ,
@JFTronche,09:59 - 22 mars 2013,N'appelez pas l'Obs : toute a rédaction a les dents collées par des #Carambar. 12 kilos achetés pour l'enquête...,
@merveilleuses,09:56 - 22 mars 2013,En tournage pour #Carambar le 19/45 de @M6lachaine -- pour de vrai !pic.twitter.com/Ga6ClO8XFw,
@Clemence_Lvr,09:55 - 22 mars 2013,La fin des blagues #Carambar... Mon enfance part avec les gars !,
@as_pujol,09:54 - 22 mars 2013,La fin des blagues #Carambar : et si c'était un poisson d'avril ?!,
@BilletPierre,09:49 - 22 mars 2013,Aaah alors on supprime les blagues #carambar pour les mettre dans le #ChallengePub,
@Toyan66,09:48 - 22 mars 2013,Quoi !! #Sarkozy est mort à #KohLanta ? #Carambar #ComboTweet #Informix,
@Lagach_,09:47 - 22 mars 2013,avec l'arrêt des blagues par #carambar nicolas #canteloup serait à la recherche de quelqu'un pour écrire ses sketchs,
@SarahCompte,09:45 - 22 mars 2013,Adieu les blagues #Carambar...C'est du sérieux maintenant http://www.jeanmarcmorandini.com/article-302086-revelation-et-si-la-fin-des-blagues-carambar-etait-en-realite-une-blague.html … Vérité ou un beau coup de #communication pour le 1er Avril?,
@MarieSargueil,09:44 - 22 mars 2013,Je suis la seule à être heureuse que les #blagues #Carambar s'arrêtent ?,
@AmelieFournier,09:41 - 22 mars 2013,#Carambar : un buzz aux allures de pub http://eur1.fr/eABY9ZQ  via @europe1,
@LePlanneur,09:40 - 22 mars 2013,Tout même un peu étonné que tant de journalistes et de twittos croient à cet arrêt définitif des blagues #Carambar,
@laraabe11,09:39 - 22 mars 2013,Les Blagues De #Carambar Vont Etre Remplacer Par Des Phrases Culturelles.,
@ArnaudLFA,09:35 - 22 mars 2013,Un #carambar sans devinette c'est un peu comme un #mcdonalds sans Big Mac@e_marketing_fr:Le coup du Carambarketing http://bit.ly/16Nwvop ,
@alix_alixou,09:34 - 22 mars 2013,Carambar arrête les blagues ... @Mister_Freez on peut pas laisser faire ça !!!!! http://www.carambar.fr/  #carambar,
@Sand_Lys,09:34 - 22 mars 2013,@peaudhareng75 comment j'vais combler mes heures creuses au boulot moi maintenant...?! Ptdrrrr #Carambar,
@ukyoner,09:34 - 22 mars 2013,Les blagues carambar c est finis :( #carambar,
@ronanguillerm1,09:33 - 22 mars 2013,Carambar : un buzz aux allures de pub http://eur1.fr/eABY9ZQ  via @europe1 #blagues #carambar,
@EasyStef31,09:31 - 22 mars 2013,#RIP les blagues #Carambar :( #Triste,
@peaudhareng75,09:27 - 22 mars 2013,@sandlys c'était mon gagne pain tout court oui oui  oui aux blagues a 2 balles  oui oui oui aux blagues #Carambar,
@rbccaa,09:18 - 22 mars 2013,Le #Geek ne crie pas il #URL #carambar se modernise !! cc @RebeccaPari @weil_andrea @MLecoanetPro and #TGIF of course !!!,
@peaudhareng75,09:18 - 22 mars 2013,Je m'oppose fermement a la suppression des blagues carambar #Carambar,
@GuillerezJS,09:17 - 22 mars 2013,La ville de naissance du #Carambar - Marcq-en-Baroeul - lance une pétition contre la disparition de la blague http://www.lavoixdunord.fr/region/marcq-en-baroeul-lance-une-petition-pour-la-blague-carambar-ia22b0n1117692 …,
@EngagementLabsF,09:15 - 22 mars 2013,Nous avons retrouvé un des futurs ex-auteurs des blagues #Carambar qui nous en dit un peu plus sur la triste décision pic.twitter.com/u93OXYx6gL,
@l_epaulard,09:13 - 22 mars 2013,#carambar une génération perdue qui n'a jamais su et ne saura jamais écrire correctement échalote #troptard,
@paul_denton,09:12 - 22 mars 2013,D'abord les blagues #Carambar maintenant #KohLanta. Époque de merde RT @julienlalande: TF1 annule le tournage de Koh-Lanta. (officiel),
@nissanfrance,09:11 - 22 mars 2013,RT @victor_diakov: @nissanfrance @OTamburini ce jeu me donne des Nismo de tête. #carambar d'or !,
@Amor_LOUHICHI,09:11 - 22 mars 2013,@richardguedj Il s'est étouffé avec le dernier #Carambar en apprenant la nouvelle en direct à la télé #ceciexpliquecela,
@ClaireSyndique,09:10 - 22 mars 2013,@GaudinFlo #Carambar arrête bien ses blagues... Désolée tu pourras plus puiser dans ce vivier de magnifiques blagues http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@vinz_le_ricain,09:08 - 22 mars 2013,@TonPote @florianlavalard aie j'ai touché un point sensible ?#Carambar toute notre enfance et bien plus encore...,
@Flo_Lickel,09:08 - 22 mars 2013,@maximevtd Remplacer les blagues #carambar par des photos de chatons #cutelittlekitty http://www.lexpress.fr/styles/saveurs/par-quoi-faut-il-remplacer-les-blagues-des-carambar_1233916.html … via @LEXPRESS,
@vinz_le_ricain,09:05 - 22 mars 2013,@TonPote @florianlavalard oui mais avec la fin des histoires #Carambar la carrière de @FlorianLavalard est foutu,
@alaleu,09:02 - 22 mars 2013,Je pensais pas que tu allais suivre mes conseils @eric_rktn ... A quand le Harlem Shake ?  http://bit.ly/ZhziPc  #Carambar,
@celinebardy,09:01 - 22 mars 2013,RT Ce n'est pas une blague Marcq en Baroeul lance une pétition pour la blague #carambar http://ow.ly/jkez8   via @lecontempteur,
@DJouldkhettab,09:01 - 22 mars 2013,.@MadoBayon M. et Mme Palairsolidecesdeuxtours ont un fils comme s'appelle-t-il? #carambar,
@ML_Dns,09:01 - 22 mars 2013,Maintenant dans les carambars il y aura des problèmes mathématiques  mais pour moi ces problèmes mathématiques sont des blagues. #Carambar,
@EmysThings,09:00 - 22 mars 2013,Je viens de voir que #Carambar arrête de mettre les petites blagues sur les papiers à partir du mois prochain.. C'est nul !,
@Ouilloutte,09:00 - 22 mars 2013,La fin des mythes? http://0z.fr/bOxNz  #carambar et #sarko disparaissent!,
@plarad,08:59 - 22 mars 2013,Excellent! RT @lecontempteur Marcq-en-Baroeul lance une pétition pour la blague #carambar http://ow.ly/jkez8 ,
@MatthieuPont1,08:59 - 22 mars 2013,#carambar annule ses blagues pour les remplacer par des questions d'orthographe... pfffffffff ridicule,
@lecontempteur,08:58 - 22 mars 2013,Marcq en Baroeul lance une pétition pour la blague #carambar http://ow.ly/jkez8 ,
@Lor_Dub,08:57 - 22 mars 2013,Drame de la journée : Carambar arrête les blagues !!  http://bit.ly/11opYjY  #Carambar #blague,
@ManonSage,08:55 - 22 mars 2013,La mise en examen de #Sarkozy  la fin des blagues #Carambar et le décès d'un candidat sur le tournage de Koh-Lanta .. ! Journée sinistre ..,
@obohan,08:53 - 22 mars 2013,La mise en examen de #Sarkozy  la fin des blagues #Carambar et le décès d'un candidat sur le tournage de Koh-Lanta .. ! Journée sinistre ..,
@ManuDupouy,08:49 - 22 mars 2013,Après la fin des blagues #carambar la fin de #kohlanta. Tout fout le camp.,
@tomadelest,08:44 - 22 mars 2013,Finies les blagounettes #Carambar de Colin #Powell devant l'ONU !!! #UN 10 ans déjà !#ColinPowell #WMD.pic.twitter.com/SvTTz92pq4,
@zilam971,08:42 - 22 mars 2013,Quel monde laisserons nous a nos enfants #LT #Carambar,
@Thomas_Cln,08:42 - 22 mars 2013,Quel bonbon marche avec une béquille ? - La sucette. #Carambar tu nous manquera..,
@zilam971,08:42 - 22 mars 2013,Plus de blagues #Carambar  mais où allons nous,
@SKINJACKIN,08:35 - 22 mars 2013,#Exclusivité le @SKINJACKIN recrute le rédacteur des blagues #Carambar,
@nissanfrance,08:35 - 22 mars 2013,Dédicace #carambar : Comment s'appelle la nouvelle #Nissan de Bénédicte ? Le NOTE à Béné... A qui le tour ?,
@JecykaJeya,08:34 - 22 mars 2013,#Carambar -> C'est mon enfance alors pas touche à mes carambars et ses blagues ! #CoupdeCommunication pour le 1er avril !,
@kinky_fairy,08:33 - 22 mars 2013,@sonicliberty @evacarre Alors pour moi ce sera #fraisesTagada bananes #Carambar nounours en chocolat Car-en-sac crocodiles dragées,
@Fredodido,08:33 - 22 mars 2013,@Jeromelibeskind @amandine_begot @jbermyn @fsette @c_barbier @mariecolmant1 #itelematinale abra #carambar,
@a2nbichsel,08:31 - 22 mars 2013,Caramba Carambar! : http://www.annebichsel.com/wordpressactu/blog/?p=1394 … #carambar,
@AllezBPT,08:31 - 22 mars 2013,Les blagues dans votre #Carambar c'est fini ! http://ow.ly/jiKIf ,
@SKINJACKIN,08:31 - 22 mars 2013,SCANDALE #Carambar,
@richardcastiel,08:30 - 22 mars 2013,RT @itele Sans rires #Carambar arrête les blagues. Elles seront remplacées par des questions éducatrice http://www.itele.fr/france/video/finies-les-blagues-carambar-devient-serieux …,
@umeri1,08:30 - 22 mars 2013,@BFMTV. L'histoire du faux pilote qui a tente de prendre les commandes d'un boeing c'est une blague de #Carambar ou quoi ?,
@umeri1,08:27 - 22 mars 2013,@itele allo #Carambar arrête les blagues.Mais c'est une blague allo koi. Les gens achetent des carambar pour les blagues pas pour le goût!,
@ErickOllivier,08:27 - 22 mars 2013,#carambar après le cas Huzac le cas rambar !!!,
@annesoinca,08:26 - 22 mars 2013,Allô? t'es #Carambar et t'as pas de blagues? Non mais allô quoi!,
@Orfeo1969,08:25 - 22 mars 2013,http://www.lefigaro.fr/culture/2013/03/21/03004-20130321ARTFIG00607-carambar-perd-le-sens-de-l-humour.php …LA CATA ... Adieu #Carambar,
@NatDecoratrice,08:23 - 22 mars 2013,“@elleadore: Pommes au four au #Carambar ! http://bit.ly/9MdfaM ” je vais tester !!!!!,
@Nate_FR,08:23 - 22 mars 2013,WTF!! #Carambar vont arrêter leurs blagues. Remplacées par des quest éducatives! Tout fou le camp dans ce pays c'est moi qui vous le dis !!,
@kergabin,08:21 - 22 mars 2013,#carambar arrête ses blagues pour des questions de culture G : Je demande qu'@apericube saisissent la Haute autorité de la concurrence !,
@AsDreamsGoBy,08:17 - 22 mars 2013,On va bien se faire chier maintenant ... RT: Les blagues #Carambar c'est fini ! http://www.ozap.com/actu/les-blagues-carambar-c-est-fini/446200 …,
@AntoineGiniaux,08:15 - 22 mars 2013,#FF @tweedynamite futur wooden report 2013.. : Carambar la dernière blague ? http://www.franceinter.fr/depeche-carambar-abandonne-nos-premiers-humours … #Carambar #f_inter,
@elleadore,08:15 - 22 mars 2013,Pommes au four au #Carambar ! http://bit.ly/9MdfaM ,
@LemonLie,08:15 - 22 mars 2013,Les blagues #carambar avec les NIGGAZ ça n'a pas de prix.,
@Lahoucine,08:13 - 22 mars 2013,Finalement la fin des blagues chez #Carambar serait une blague.,
@Minimalizm__,08:13 - 22 mars 2013,C'est fini les blagues #Carambar :(,
@sebsabiron,08:08 - 22 mars 2013,Carambar la dernière blague ? http://www.franceinter.fr/depeche-carambar-abandonne-nos-premiers-humours … #Carambar #f_inter,
@NicolasCMaestro,08:06 - 22 mars 2013,Petit hommage à Carambar http://goo.gl/LSNfs  #Carambar,
@MaxenceChallut,08:05 - 22 mars 2013,#carambar arrete les blagues pour des questions educatives.. La fin d'un monde. #coupdevieux,
@Boris_Puccini,08:05 - 22 mars 2013,''Sans rire #Carambar ne blaguera plus'' J'ai juste envie de dire ''MDR'' http://bit.ly/YuDMD0  @ladh,
@zeloop,08:05 - 22 mars 2013,#Carambar supprime ses petites blagounettes au profit d'exercice ludique...pfff...rendez nous nos blagues à la con ! pic.twitter.com/fHEVMH2xBP,
@montreuillois,08:04 - 22 mars 2013,@yannigg @mirandafrancois *clap *clap *clap !! #Carambar. Sinon y'a l'éolienne de la place de la mairie :D,
@loompas0,08:03 - 22 mars 2013,#fail pas de  blagues pas de  #Carambar!,
@KevinFinancial,08:03 - 22 mars 2013,@Jeromelibeskind Cette blague. Bientôt la zone Euro dans les emballages #carambar ?!,
@dorianjan,08:02 - 22 mars 2013,La meilleur blague de #Carambar ? Annoncer qu'il n'y aura plus de blagues dans les #Carambar,
@Landoreza,08:01 - 22 mars 2013,#Carambar arrête de rire et devient intello....! Oh Zut! On l'aimait bien comme ça! Mais bon on va toujours l'aimer http://www.rtl.fr/actualites/info/alimentation/article/carambar-arrete-ses-blagues-7759731252 …,
@caabousmane,08:00 - 22 mars 2013,PTDR ils me feront rire une dernière fois #Carambar,
@AudreyLabarthe,08:00 - 22 mars 2013,Ce jour où tu regrettes d'avoir tjs jeté tes papiers de #Carambar.. Ca va devenir collector ou en tt cas 1 sacré souvenir d'enfance!,
@LeBackpacker,07:59 - 22 mars 2013,Cool j'ai chopé une interview exclusive avec un ex auteur de blagues #carambar !,
@CNEWS,07:59 - 22 mars 2013,Sans rires #Carambar arrête les blagues. Elles seront remplacées par des questions éducatives http://www.itele.fr/france/video/finies-les-blagues-carambar-devient-serieux …,
@rideloge,07:57 - 22 mars 2013,Les blagues Carambar c'est fini : Apéricube à racheté #Carambar,
@ThierryWojciak,07:56 - 22 mars 2013,J'vais lancer une #OPA amicale sur les blagues #Carambar...,
@montreuillois,07:55 - 22 mars 2013,Remplacer les blagues #Carambar par des dépêches AFP (ou @le_gorafi)... en voilà une idée ?,
@_Nikator_,07:53 - 22 mars 2013,Si vous avez pas compris mon dernier Tweet #carambar a bien fait  d'arrêter les blagues.,
@andydidi88,07:52 - 22 mars 2013,#carambar arrête ses blagues coup de com' non ? Ce qui est étonnant c'est que le compteur sur le site indique le changement lundi à 8h...,
@Lex_Mercury,07:51 - 22 mars 2013,Ou les superhéros vont-ils faire leurs courses ? Au supermarché ! Mais c'est superdrole ! #itélé #carambar #blagues,
@dorianjan,07:48 - 22 mars 2013,Quand je serais plus grand je pourrais dire à mes petits enfants que j'ai connu l'époque des blagues #Carambar !,
@Mmsl35,07:47 - 22 mars 2013,#carambar #blague http://www.jeanmarcmorandini.com/article-302086-revelation-et-si-la-fin-des-blagues-carambar-etait-en-realite-une-blague.html …,
@clechopi,07:47 - 22 mars 2013,@brloubrlou On n'aura plus les blagues #Carambar mais on aura les tiennes :),
@RHPERFORMANCES,07:46 - 22 mars 2013,La Minute RH - Rédacteur de #Blague chez #Carambar : un #job de rêve ? http://www.laminuterh.fr/article/71 ,
@Bahsief93,07:44 - 22 mars 2013,@Olivier_Boucher: @Caliecool @5394dlyb #Sarkozy  ID: remplacer les blagues #carambar par des interventions #UMP,
@antoine_renaud,07:44 - 22 mars 2013,T'es un #carambar et t'as pas de blague. Non mais #allo ! C'est comme si t'es un #malabar et t'as pas de tatouage.,
@_Nikator_,07:43 - 22 mars 2013,#Sarkozy vient de s'acheter des chaussures à talonnees : ce sont des chaussures à talonettes mais Santé. #carambar,
@cic,21:55 - 28 nov. 2018,Vous êtes décidé(e) à construire l'avenir ? Le CIC recrute cette année 2 000 collaborateurs. Rendez-vous sur https://goo.gl/EtccwP  #CIC_entreprendresonjobpic.twitter.com/vByV29P2en,
@pedroretro42,07:39 - 22 mars 2013,#Carambar arrête les blagues pour le 1er avril #scandale,
@Alex_Mellier,07:39 - 22 mars 2013,@krokette @ivre approuvé par #carambar bientôt des blagues sous les languettes des pots pour remplacer?,
@Olivier_Boucher,07:39 - 22 mars 2013,@Caliecool @5394dlyb #Sarkozy  ID: remplacer les blagues #carambar par des interventions #UMP,
@nissanfrance,07:37 - 22 mars 2013,Tribute to #carambar ! On vous lance un défi : Faites vos blagues avec les noms des modèles #Nissan. A vous de jouer !,
@Jess_Vial,07:35 - 22 mars 2013,#Carambar c'est du sérieux !.Finies les blagues (+ ou - drôles je l'accorde) dans l'emballage. #rabatjoie http://ick.li/2yUw7S ,
@Eriatolc,07:32 - 22 mars 2013,La fin des blagues sur les #carambar ! La fin d'une époque. Ci-gît blague carambar : 1969-2013...,
@luisazemar,07:32 - 22 mars 2013,A cause de #carambar j'ai un tas de potes au chômage..Bon courage les gars.,
@clrdo,07:32 - 22 mars 2013,Les auteurs des blagues #Carambar gagnaient 70 euros pour une blague validée. Si j'avais su avant j'aurai fait ça ! http://tempsreel.nouvelobs.com/societe/20130322.OBS2709/carambar-l-auteur-etait-paye-70-euros-la-blague.html …,
@46ruedemalville,07:32 - 22 mars 2013,UNMONDEPOURRI#ump #Sarkozy #Bettencourt #Cahuzac #carambar,
@clrdo,07:30 - 22 mars 2013,Blagues #Carambar : chronique d'une mort annoncée. Mais quel #buzz ! http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html …,
@LaGallagh,07:30 - 22 mars 2013,Nouvelle campagne de com Carambar : C'est du sérieux http://vimeo.com/62353910  #Vimeo #carambar,
@LacVonBayern,07:29 - 22 mars 2013,Carambar : l'auteur était payé 70 euros la blague http://tempsreel.nouvelobs.com/societe/20130322.OBS2709/carambar-l-auteur-etait-paye-70-euros-la-blague.html …#carambar,
@nanoufromclichy,07:24 - 22 mars 2013,#LT ils auraient pu aussi faire un effort sur la texture le peu de fois où j'ai mangé un #Carambar dans ma vie j'ai cru à un attentat buccal,
@Theotherseb,07:23 - 22 mars 2013,Drole de #blague. #carambar arrette les blagues. http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@MaximeMigeon,07:22 - 22 mars 2013,La Minute RH - Rédacteur de #Blague chez #Carambar : un #job de rêve ? http://www.laminuterh.fr/article/71 ,
@amanssan,07:22 - 22 mars 2013,Non à l'arrêt des blagues #carambar pourries !! http://goo.gl/nbcUQ ,
@nanoufromclichy,07:22 - 22 mars 2013,Ma principale source d'inspiration humoristique me délaisse oui c'est tragique #Carambar arrête ses blagues RIP la #BonneBlague,
@la_pougne,07:21 - 22 mars 2013,Un #carambar sans sa blague c'est pas un #carambar RIP,
@MathildeCollet,07:19 - 22 mars 2013,T'es un #Carambar et t'as pas de blagues nan mais allo !http://www.latribune.fr/entreprises-finance/industrie/agroalimentaire-biens-de-consommation-luxe/20130322trib000755497/carambar-veut-arreter-ses-blagues-les-consommateurs-se-mobilisent.html … via @LaTribune,
@ikucuze,07:18 - 22 mars 2013,#carambar arrête les blagues pour se lancer dans l'éducatif... Il y a déjà les #apéricube pour ça non ? Le choix est vite fait...,
@RauminHetzel,07:16 - 22 mars 2013,Un #carambar ne sera plus pareil !,
@Cavearomes,07:13 - 22 mars 2013,aromes #actu : La fin des blagues #carambar ! Heureusement il vous reste les carambars,
@__AsfA___,07:11 - 22 mars 2013,#Pécresse: Vous imaginez le ministre de l’Intérieur de la 5ème puissance mondiale?. Les blagues #Carambar n'ont pas disparu.#Bettencourt,
@StIbarra,07:10 - 22 mars 2013,:-) RT @MJS_49: Suppression des blagues #Carambar : on attend la récupération de Christophe #Béchu dénonçant le mépris des enfants ! #Angers,
@eljib,07:10 - 22 mars 2013,hébé!!! ca c t du fric facilement gagné!! 70€ par blague #Carambar validée...!  v/@lenouvelobs @KlarAgora http://ht.ly/jjRhG ,
@majorloucarter,07:08 - 22 mars 2013,URGENT : #Carambar arrete ses blagues! DONC  faire une petition on ne peut pas vivre sans les blagues Carambar PS : le ridicule ne tue pas,
@Dorimene2,07:08 - 22 mars 2013,Dommage ! C'est avec les #carambar que j'ai commencé à faire mes petites blagues aurait dit un certain #pingouin,
@catcadic,07:08 - 22 mars 2013,Dans 3 jours #Carambar remplacera l'humour par l'#orthographe : la #languefrançaise s'en réjouira !,
@serieuseallumee,07:07 - 22 mars 2013,Fini les blagues pour #carambar place au sérieux et à la culture général.,
@MJS_49,07:04 - 22 mars 2013,Suppression des blagues #Carambar : on attend la récupération de Christophe #Béchu dénonçant le mépris des enfants ! #Angers,
@JLilloise,07:03 - 22 mars 2013,Quel est le pays le plus cool du monde ? ... Le Yémen #blague #Carambar,
@EpouseGwenR,07:03 - 22 mars 2013,#Carambar #ManipPourTous Ceci n'est pas une blague http://dessins.yagg.com/files/2013/03/carambar.jpg …,
@Delphine_D,06:57 - 22 mars 2013,@SandrineCamus N'empêche c'est super joli ! :) #Carambar,
@vialaporte,06:55 - 22 mars 2013,No more cheesy jokes in #Carambar ? Is it a joke???,
@KlarAgora,06:52 - 22 mars 2013,70€ par blague #Carambar validée...!  v/@lenouvelobs @fannouch http://ht.ly/jjRhG ,
@Selfimage,06:51 - 22 mars 2013,Ce n'est pas une blague #Carambar arrête ses #blagues au profit de quizz ou problèmes mathématiques ludo-éducatifs !pic.twitter.com/WEwRJnIO1T,
